#1
double	presence(35040, 2)
1525629600	1
1525630500	1
1525631400	1
1525632300	1
1525633200	1
1525634100	1
1525635000	1
1525635900	1
1525636800	1
1525637700	1
1525638600	1
1525639500	1
1525640400	0
1525641300	0
1525642200	0
1525643100	0
1525644000	0
1525644900	0
1525645800	0
1525646700	0
1525647600	0
1525648500	0
1525649400	0
1525650300	0
1525651200	0
1525652100	0
1525653000	0
1525653900	0
1525654800	0
1525655700	0
1525656600	0
1525657500	0
1525658400	0
1525659300	0
1525660200	0
1525661100	0
1525662000	0
1525662900	0
1525663800	0
1525664700	0
1525665600	0
1525666500	0
1525667400	0
1525668300	0
1525669200	0
1525670100	0
1525671000	0
1525671900	0
1525672800	0
1525673700	0
1525674600	0
1525675500	0
1525676400	0
1525677300	0
1525678200	0
1525679100	0
1525680000	0
1525680900	0
1525681800	0
1525682700	0
1525683600	0
1525684500	0
1525685400	0
1525686300	0
1525687200	0
1525688100	0
1525689000	0
1525689900	0
1525690800	0
1525691700	0
1525692600	0
1525693500	0
1525694400	0
1525695300	0
1525696200	0
1525697100	0
1525698000	0
1525698900	0
1525699800	0
1525700700	0
1525701600	0
1525702500	0
1525703400	0
1525704300	0
1525705200	1
1525706100	1
1525707000	1
1525707900	1
1525708800	1
1525709700	1
1525710600	1
1525711500	1
1525712400	1
1525713300	1
1525714200	1
1525715100	1
1525716000	1
1525716900	1
1525717800	1
1525718700	1
1525719600	1
1525720500	1
1525721400	1
1525722300	1
1525723200	1
1525724100	1
1525725000	1
1525725900	1
1525726800	0
1525727700	0
1525728600	0
1525729500	0
1525730400	0
1525731300	0
1525732200	0
1525733100	0
1525734000	0
1525734900	0
1525735800	0
1525736700	0
1525737600	0
1525738500	0
1525739400	0
1525740300	0
1525741200	0
1525742100	0
1525743000	0
1525743900	0
1525744800	0
1525745700	0
1525746600	0
1525747500	0
1525748400	0
1525749300	0
1525750200	0
1525751100	0
1525752000	0
1525752900	0
1525753800	0
1525754700	0
1525755600	0
1525756500	0
1525757400	0
1525758300	0
1525759200	0
1525760100	0
1525761000	0
1525761900	0
1525762800	0
1525763700	0
1525764600	0
1525765500	0
1525766400	0
1525767300	0
1525768200	0
1525769100	0
1525770000	0
1525770900	0
1525771800	0
1525772700	0
1525773600	0
1525774500	0
1525775400	0
1525776300	0
1525777200	0
1525778100	0
1525779000	0
1525779900	0
1525780800	0
1525781700	0
1525782600	0
1525783500	0
1525784400	0
1525785300	0
1525786200	0
1525787100	0
1525788000	0
1525788900	0
1525789800	0
1525790700	0
1525791600	1
1525792500	1
1525793400	1
1525794300	1
1525795200	1
1525796100	1
1525797000	1
1525797900	1
1525798800	1
1525799700	1
1525800600	1
1525801500	1
1525802400	1
1525803300	1
1525804200	1
1525805100	1
1525806000	1
1525806900	1
1525807800	1
1525808700	1
1525809600	1
1525810500	1
1525811400	1
1525812300	1
1525813200	0
1525814100	0
1525815000	0
1525815900	0
1525816800	0
1525817700	0
1525818600	0
1525819500	0
1525820400	0
1525821300	0
1525822200	0
1525823100	0
1525824000	0
1525824900	0
1525825800	0
1525826700	0
1525827600	0
